PropertyNumber,ResearchDate,ResearchTimeIST,TimeZone,PropertyID,ListingTitle,Purpose,PropertyType,Configuration,Locality,ProjectFullLocation,HyderabadZone,PriceRent,Maintenance,SecurityDeposit,Brokerage,BuiltUpArea,CarpetArea,PlotArea,PricePerSqFt,Furnishing,Bathrooms,Balconies,Floor,TotalFloors,PropertyAge,ConstructionStatus,Possession,Facing,Parking,Ownership,Amenities,SellerCategory,SellerProviderName,ListingDateAge,VerificationStatus,SourceWebsite,DirectListingURL,AlsoFoundOn,ResearchNotes
95,2026-08-03,19:36:59,IST,MB85759601,"3 BHK 1149 Sqft Flat For Sale in Begumpet, Hyderabad",Sale,Apartment/Flat,3 BHK,Upperpally,"Padmini Apartments Chikoti Garden 2nd floor Flat no 205 Begumpet HYD TG 500016, Begumpet, Hyderabad - North, Andhra Pradesh",North,8900000,Not provided,Not provided,Not provided,Not provided,1149 sqft,Not provided,"₹7,746/sqft",Semi-Furnished,2,1,2,4,Above 20 years,Ready to Move,Ready to Move,North,Not provided,Freehold,Not provided,Owner,Not provided,"Jul 29, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/3-BHK-1300-Sq-ft-Multistorey-Apartment-FOR-Sale-Upperpally-in-Hyderabad%26id%3D4d423835373539363031,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. Unavailable fields are marked Not provided; no private contact details were collected.
96,2026-08-03,19:36:59,IST,MB85741763,"3 BHK 2340 Sqft Flat For Sale Financial District, Hyderabad",Sale,Apartment/Flat,3 BHK,Financial District,"ASBL Broadway; Financial District, Hyderabad - West, Andhra Pradesh",West,22300000,Not provided,Not provided,Not provided,2340 sqft,Not provided,Not provided,"₹9,542/sqft",Unfurnished,3,1,Not provided,Not provided,Under Construction,Under Construction,Not provided,Not provided,Not provided,Not provided,Not provided,Agent,Ashoka Builders India Private Limited,"Jul 28, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/3-BHK-2340-Sq-ft-Multistorey-Apartment-FOR-Sale-Financial-District-in-Hyderabad%26id%3D4d423835373431373633,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. RERA ID publicly displayed: P02400009684. Unavailable fields are marked Not provided; no private contact details were collected.
97,2026-08-03,19:36:59,IST,MB85744357,"5 BHK 5250 Sqft Flat For Sale Financial District, Hyderabad",Sale,Apartment/Flat,5 BHK,Financial District,"Myscape Otomo; Financial District, Hyderabad, Financial District, Hyderabad - West, Andhra Pradesh",West,76100000,"₹25,000 Monthly",Not provided,Not provided,Not provided,5250 sqft,Not provided,"₹14,500/sqft",Not provided,5,3,15,25,New Construction,Ready to Move,Ready to Move,North,4 Covered Parking,Freehold,"Jogging and Strolling Track, Service/Goods Lift",Agent,Myscape Properties Pvt Ltd.,"Jul 28, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/5-BHK-5250-Sq-ft-Multistorey-Apartment-FOR-Sale-Financial-District-in-Hyderabad%26id%3D4d423835373434333537,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. RERA ID publicly displayed: P02400004083. Unavailable fields are marked Not provided; no private contact details were collected.
98,2026-08-03,19:36:59,IST,20087622,"2 BHK Flat for sale in My Home Krishe at Gachibowli, Hyderabad",Sale,Apartment/Flat,2 BHK,Gachibowli,"My Home Krishe; My Home Krishe, My Home Krishe, Gachibowli, West Hyderabad, Hyderabad",West,18000000,Not provided,Not provided,3.6 LacsAccess Zero Brokerage Properties,1275 sqft,Not provided,Not provided,₹14.12 K/sq.ft,Semi Furnished,2,1,18,26,2 Year Old,Ready to Move,Ready to move,East,1 Covered Parking,Not provided,"Swimming Pool, Gym, Lift, Power Backup, Intercom",Not provided,Not provided,"Jul 28, 2026 (Last updated; Added: 5 days ago)",Verified Active,Housing.com,https://housing.com/in/buy/resale/page/20087622-2-bhk-apartment-in-gachibowli-for-rs-18000000-v2,Not identified,Direct resale page accessible with active Contact Seller action; date is the public Housing.com 'Last updated' date. Unavailable fields are marked Not provided; no private contact details were collected.
99,2026-08-03,19:36:59,IST,MB85737751,"3 BHK 2065 Sqft Flat For Sale Kukatpally, Hyderabad",Sale,Apartment/Flat,3 BHK,Kukatpally,"ASBL Landmark; Kukatpally, Kukatpally, Hyderabad - North, Andhra Pradesh",North,19900000,Not provided,Not provided,Not provided,2065 sqft,Not provided,Not provided,"₹9,637/sqft",Unfurnished,3,2,10,19,Under Construction,Under Construction,Not provided,West,Not provided,Freehold,"Visitor Parking, Jogging and Strolling Track, Outdoor Tennis Courts, Bar/Lounge, Laundry Service, Service/Goods Lift",Agent,ASBL Ashoka Builders India Pvt Ltd,"Jul 28, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/3-BHK-2065-Sq-ft-Multistorey-Apartment-FOR-Sale-Kukatpally-in-Hyderabad%26id%3D4d423835373337373531,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. RERA ID publicly displayed: P02200008770. Unavailable fields are marked Not provided; no private contact details were collected.
100,2026-08-03,19:36:59,IST,MB85736119,"2 BHK 950 Sqft Flat For Sale in Narsingi, Hyderabad",Sale,Apartment/Flat,2 BHK,Narsingi,"Narsingi, Hyderabad - West, Andhra Pradesh",West,9000000,Not provided,Not provided,Not provided,Not provided,950 sqft,Not provided,"₹9,474/sqft",Furnished,2,1,5,5,Less than 5 years,Ready to Move,Ready to Move,West,Not provided,Not provided,Not provided,Owner,Not provided,"Jul 28, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/2-BHK-950-Sq-ft-Multistorey-Apartment-FOR-Sale-Narsingi-in-Hyderabad%26id%3D4d423835373336313139,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. Unavailable fields are marked Not provided; no private contact details were collected.
101,2026-08-03,19:36:59,IST,MB85727943,Plots for sale in Hyderabad,Sale,Apartment/Flat,2 BHK,Kondapur,"Sarovaram Green Homes; Sree Prabhupada Township Kondapur, Kondapur, Hyderabad - North, Andhra Pradesh",North,10000000,Not provided,Not provided,Not provided,1375 sqft,Not provided,Not provided,"₹7,272/sqft",Semi-Furnished,2,1,1,5,10 to 15 years,Ready to Move,Ready to Move,East,Not provided,Freehold,"Power Back Up, Lift, Swimming Pool, Gymnasium, Club House",Agent,SatyaVani Group,"Jul 27, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/2-BHK-1375-Sq-ft-Multistorey-Apartment-FOR-Sale-Kondapur-in-Hyderabad%26id%3D4d423835373237393433,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. Unavailable fields are marked Not provided; no private contact details were collected.
102,2026-08-03,19:36:59,IST,MB85728615,"6 BHK House for Sale in Venkata Ramana Colony Banjara Hills, Hyderabad",Sale,Independent House,6 BHK,Venkata Ramana Colony Banjara Hills,"6-3-595., Venkata Ramana Colony Banjara Hills, Hyderabad - North, Andhra Pradesh",North,52300000,Not provided,Not provided,Not provided,285 sqyrd,Not provided,Not provided,"₹1,83,508/sqft",Semi-Furnished,5,2,Not provided,Not provided,Above 20 years,Ready to Move,Ready to Move,West,"1 Covered, 1 Open",Freehold,Not provided,Agent,Not provided,"Jul 27, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/6-BHK-285-Sq-yrd-Residential-House-FOR-Sale-Venkata-Ramana-Colony-Banjara-Hills-in-Hyderabad%26id%3D4d423835373238363135,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. Unavailable fields are marked Not provided; no private contact details were collected.
103,2026-08-03,19:36:59,IST,MB85716655,"2 BHK 1000 Sqft Flat For Sale in Pragathis Raghupathi County ,Bachupally, Hyderabad",Sale,Apartment/Flat,2 BHK,Bachupally,"Pragathis Raghupathi County; Bachupally, Hyderabad, Bachupally, Hyderabad - North, Andhra Pradesh",North,11500000,Not provided,Not provided,Not provided,Not provided,1000 sqft,Not provided,"₹11,500/sqft",Furnished,2,2,6,7,Less than 5 years,Ready to Move,Ready to Move,West,1 Covered,Freehold,Lift,Owner,Not provided,"Jul 26, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/2-BHK-1265-Sq-ft-Multistorey-Apartment-FOR-Sale-Bachupally-in-Hyderabad%26id%3D4d423835373136363535,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. Unavailable fields are marked Not provided; no private contact details were collected.
104,2026-08-03,19:36:59,IST,MB85716269,"3 BHK 2597 Sqft Flat For Sale Kondapur, Hyderabad",Sale,Apartment/Flat,3 BHK,Kondapur,"Indis Viva City; Kondapur, Hyderabad - North, Andhra Pradesh",North,26500000,Not provided,Not provided,Not provided,2597 sqft,Not provided,Not provided,"₹10,241/sqft",Unfurnished,3,1,Not provided,Not provided,Under Construction,Under Construction,Not provided,Not provided,Not provided,Not provided,Not provided,Agent,Indis,"Jul 26, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/3-BHK-2597-Sq-ft-Multistorey-Apartment-FOR-Sale-Kondapur-in-Hyderabad%26id%3D4d423835373136323639,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. RERA ID publicly displayed: P02400001477. Unavailable fields are marked Not provided; no private contact details were collected.
105,2026-08-03,19:36:59,IST,MB85720341,"2 BHK 1135 Sqft Flat For Sale in LB Nagar, Hyderabad",Sale,Apartment/Flat,2 BHK,LB Nagar,"Lal Bahadur Nagar, Hyderabad, LB Nagar, Hyderabad - Central, Andhra Pradesh",Central,7200000,Not provided,Not provided,Not provided,Not provided,1135 sqft,Not provided,"₹6,344/sqft",Furnished,2,2,2,4,5 to 10 years,Ready to Move,Ready to Move,East,1 Covered,Freehold,Lift,Owner,Not provided,"Jul 26, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/2-BHK-1135-Sq-ft-Multistorey-Apartment-FOR-Sale-LB-Nagar-in-Hyderabad%26id%3D4d423835373230333431,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. Unavailable fields are marked Not provided; no private contact details were collected.
106,2026-08-03,19:36:59,IST,MB80852557,"1 BHK $area Flat/Apartment For Rent in LB Nagar, Hyderabad",Rent,Apartment/Flat,1 BHK,LB Nagar,"LB Nagar, Hyderabad - Central, Andhra Pradesh",Central,,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Unfurnished,1,1,Upper Basement,1,Not provided,Immediately,Immediately,Not provided,Not provided,Not provided,Not provided,Owner,Not provided,"Jul 26, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/1-BHK-Multistorey-Apartment-FOR-Rent-LB-Nagar-in-Hyderabad%26id%3D4d423830383532353537,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. Price was not publicly displayed in the accessible page content. Unavailable fields are marked Not provided; no private contact details were collected.
107,2026-08-03,19:36:59,IST,20086849,"3 BHK Flat for sale in Shubam arcade at Miyapur, Hyderabad",Sale,Apartment/Flat,3 BHK,Miyapur,"Shubam arcade; Shubam arcade, Mayuri Nagar, Miyapur, North Hyderabad, Hyderabad",North,12000000,Not provided,Not provided,No Charge,1850 sqft,1680 sq.ft,Not provided,₹6.49 K/sq.ft,Unfurnished,3,1,2,5,1 Years Old,Ready to Move,Ready to move,East,2 Covered Parking,Not provided,"Lift, Power Backup",Not provided,Not provided,"Jul 26, 2026 (Last updated; Added: 8 days ago)",Verified Active,Housing.com,https://housing.com/in/buy/resale/page/20086849-3-bhk-apartment-in-miyapur-for-rs-12000000,Not identified,Direct resale page accessible with active Contact Seller action; date is the public Housing.com 'Last updated' date. Unavailable fields are marked Not provided; no private contact details were collected.
108,2026-08-03,19:36:59,IST,MB85720939,"3 BHK 1435 Sqft Flat For Sale in SVS Prithvi Heights,Uppal, Hyderabad",Sale,Apartment/Flat,3 BHK,Uppal,"SVS Prithvi Heights; Near Spark Hospitals, Medipally, Hyderabad, Uppal, Hyderabad - East, Andhra Pradesh",East,8000000,Not provided,Not provided,Not provided,Not provided,1435 sqft,Not provided,"₹5,575/sqft",Semi-Furnished,2,1,2,5,10 to 15 years,Ready to Move,Ready to Move,East,1 Covered Parking,Not provided,Lift,Owner,SVS Builders,"Jul 26, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/3-BHK-1435-Sq-ft-Multistorey-Apartment-FOR-Sale-Uppal-in-Hyderabad%26id%3D4d423835373230393339,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. Unavailable fields are marked Not provided; no private contact details were collected.
109,2026-08-03,19:36:59,IST,MB85707639,Plots for sale in Hyderabad,Sale,Apartment/Flat,3 BHK,Kukatpally,"Godrej Brooklyn Avenue; Kukatpally, Hyderabad - North, Andhra Pradesh",North,19600000,Not provided,Not provided,Not provided,1820 sqft,Not provided,Not provided,"₹10,800/sqft",Unfurnished,3,2,Not provided,Not provided,Under Construction,Under Construction,Not provided,Not provided,Not provided,Not provided,Not provided,Agent,Godrej Properties,"Jul 25, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/3-BHK-1820-Sq-ft-Multistorey-Apartment-FOR-Sale-Kukatpally-in-Hyderabad%26id%3D4d423835373037363339,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. RERA ID publicly displayed: P02200010981. Unavailable fields are marked Not provided; no private contact details were collected.
110,2026-08-03,19:36:59,IST,MB85712141,"3 BHK 1810 Sqft Flat For Sale in Prestige Trident,LB Nagar, Hyderabad",Sale,Apartment/Flat,3 BHK,LB Nagar,"Prestige Trident; LB Nagar, Hyderabad - Central, Andhra Pradesh",Central,16000000,Not provided,Not provided,Not provided,1810 sqft,Not provided,Not provided,"₹8,840/sqft",Semi-Furnished,Not provided,Not provided,6,23,New Construction,Ready to Move,Ready to Move,West,Not provided,Freehold,Not provided,Owner,Prestige constructions,"Jul 25, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/3-BHK-1810-Sq-ft-Multistorey-Apartment-FOR-Sale-LB-Nagar-in-Hyderabad%26id%3D4d423835373132313431,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. RERA ID publicly displayed: P02500003864. Unavailable fields are marked Not provided; no private contact details were collected.
111,2026-08-03,19:36:59,IST,8aa9ae019f983144019f98cda3cc7d5a,"3 BHK Flat in Lanco Hills for sale in Manikonda, Hyderabad",Sale,Apartment/Flat,3 BHK,Manikonda,"Lanco Hills; Lanco Hills, Manikonda, Hyderabad",Not provided,24000000,Not provided,Not provided,Not provided,1978 SqFt,1380 SqFt,Not provided,Not provided,Semi furnished,3,1,27,Not provided,Not provided,Ready to Move,Immediately,East,Bike and Car,Not provided,"Intercom, Security, Lift, Internet, Gym, Swimming Pool, Gas Pipeline, Garden",Not provided,Not provided,"Jul 25, 2026",Verified Active,NoBroker,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-manikonda-hyderabad/8aa9ae019f983144019f98cda3cc7d5a/detail,Not identified,Direct page accessible with active contact/schedule action; date is the public NoBroker 'Posted On' date. Unavailable fields are marked Not provided; no private contact details were collected.
112,2026-08-03,19:36:59,IST,20068043,"2 BHK Flat for sale in Speed Sanarelli at Bachupally, Hyderabad",Sale,Apartment/Flat,2 BHK,Bachupally,"Speed Sanarelli; Speed Sanarelli, Phase 1, Bachupally, North Hyderabad, Hyderabad",North,5833000,Not provided,Not provided,No Charge,1050 sqft,Not provided,Not provided,₹5.55 K/sq.ft,Unfurnished,2,1,4,12,Not provided,Not provided,"7th Jul, 2026",West,1 Covered and 1 Open Parking,Not provided,"Gym, Lift, Power Backup, Garden, Sports, Club House",Not provided,Not provided,"Jul 24, 2026 (Last updated; Added: 27 days ago)",Verified Active,Housing.com,https://housing.com/in/buy/resale/page/20068043-2-bhk-apartment-in-bachupally-for-rs-5833000,Not identified,Direct resale page accessible with active Contact Seller action; date is the public Housing.com 'Last updated' date. Unavailable fields are marked Not provided; no private contact details were collected.
113,2026-08-03,19:36:59,IST,MB85698507,"3 BHK 1826 Sq-ft Flat/Apartment For Rent in Prestige High Fields,Gachibowli, Hyderabad",Rent,Apartment/Flat,3 BHK,Gachibowli,"Prestige High Fields; financial district, Gachibowli, Hyderabad - West, Andhra Pradesh",West,75000,"₹6,500","₹1,50,000","₹50,000",Not provided,"14,500 sqft",Not provided,₹5/sqft,Semi-Furnished,3,3,12,35,5 to 10 years,Immediately,Immediately,East,2 Covered,Not provided,Lift,Agent,Prestige Estates Projects Ltd.,"Jul 24, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/3-BHK-1919-Sq-ft-Multistorey-Apartment-FOR-Rent-Gachibowli-in-Hyderabad%26id%3D4d423835363938353037,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. RERA ID publicly displayed: P02400002893. Unavailable fields are marked Not provided; no private contact details were collected.
114,2026-08-03,19:36:59,IST,19990644,"3 BHK Flat for sale in Candeur at Kukatpally, Hyderabad",Sale,Apartment/Flat,3 BHK,Kukatpally,"Candeur; Candeur, Kukatpally, North Hyderabad, Hyderabad",North,8500000,Not provided,Not provided,No Charge,1550 sqft,Not provided,Not provided,₹5.48 K/sq.ft,Unfurnished,3,3,7,28,Not provided,Not provided,"15th Jun, 2026",East,1 Covered Parking,Not provided,"Swimming Pool, Gym, Lift, Power Backup, Intercom, Garden, Sports, Club House, Gated Community",Not provided,Not provided,"Jul 24, 2026 (Last updated; Added: More than a month ago)",Verified Active,Housing.com,https://housing.com/in/buy/resale/page/19990644-3-bhk-apartment-in-kukatpally-for-rs-8500000,Not identified,Direct resale page accessible with active Contact Seller action; date is the public Housing.com 'Last updated' date. Unavailable fields are marked Not provided; no private contact details were collected.
115,2026-08-03,19:36:59,IST,20209749,"3 BHK Flat for sale in Luxuy Gated Community at Kukatpally, Hyderabad",Sale,Apartment/Flat,3 BHK,Kukatpally,"Luxuy Gated Community; Luxuy Gated Community, Kukatpally, North Hyderabad, Hyderabad",North,9434000,Not provided,Not provided,No Charge,1780 sqft,1700 sq.ft,Not provided,₹5.3 K/sq.ft,Unfurnished,3,3,12,25,Not provided,Not provided,"16th Jul, 2026",East,2 Covered and 2 Open Parking,Not provided,"Swimming Pool, Gym, Lift, Power Backup, Gated Community, 24*7 Security",Not provided,Not provided,"Jul 24, 2026 (Last updated; Added: 17 days ago)",Verified Active,Housing.com,https://housing.com/in/buy/resale/page/20209749-3-bhk-apartment-in-kukatpally-for-rs-9434000,Not identified,Direct resale page accessible with active Contact Seller action; date is the public Housing.com 'Last updated' date. Unavailable fields are marked Not provided; no private contact details were collected.
116,2026-08-03,19:36:59,IST,14036885,"3 BHK Flat for sale at Kukatpally, Hyderabad",Sale,Apartment/Flat,3 BHK,Kukatpally,"Kukatpally, North Hyderabad, Hyderabad",North,10600000,Not provided,Not provided,No Charge,1715 sqft,Not provided,Not provided,₹6.2 K/sq.ft,Unfurnished,3,2,5,29,Not provided,Not provided,"21st Jul, 2026",East,2 Covered and 1 Open Parking,Not provided,"Swimming Pool, Gym, Lift, Power Backup, Intercom, Garden, Sports, Club House, Gated Community",Not provided,Not provided,"Jul 24, 2026 (Last updated; Added: 13 days ago)",Verified Active,Housing.com,https://housing.com/in/buy/resale/page/14036885-3-bhk-apartment-in-kukatpally-for-rs-10633000-v4,Not identified,Direct resale page accessible with active Contact Seller action; date is the public Housing.com 'Last updated' date. Unavailable fields are marked Not provided; no private contact details were collected.
117,2026-08-03,19:36:59,IST,20065509,"4 BHK Flat for sale in Asbl Landmark at Kukatpally, Hyderabad",Sale,Apartment/Flat,4 BHK,Kukatpally,"Asbl Landmark; Asbl Landmark, IDA Kukatpally, Kukatpally, North Hyderabad, Hyderabad",North,29500000,Not provided,Not provided,No Charge,2224 sqft,1869 sq.ft,Not provided,₹13.26 K/sq.ft,Unfurnished,4,2,10,20,Not provided,Not provided,"27th Jun, 2026",East,3 Covered Parking,Not provided,"Swimming Pool, Gated Community, Community Hall",Not provided,Not provided,"Jul 24, 2026 (Last updated; Added: More than a month ago)",Verified Active,Housing.com,https://housing.com/in/buy/resale/page/20065509-4-bhk-apartment-in-kukatpally-for-rs-29500000,Not identified,Direct resale page accessible with active Contact Seller action; date is the public Housing.com 'Last updated' date. Unavailable fields are marked Not provided; no private contact details were collected.
118,2026-08-03,19:36:59,IST,16840084,"1 BHK Flat for sale in Nebula aavas at Miyapur, Hyderabad",Sale,Apartment/Flat,1 BHK,Miyapur,"Nebula aavas; Nebula aavas, Mayuri Nagar, Miyapur, North Hyderabad, Hyderabad",North,3600000,₹1508.,Not provided,No Charge,607 sqft,606 sq.ft,Not provided,₹5.93 K/sq.ft,Unfurnished,1,1,2,14,Not provided,Not provided,"27th May, 2026",West,2 Covered and 1 Open Parking,Not provided,"Swimming Pool, Gym, Lift, Power Backup",Not provided,Not provided,"Jul 24, 2026 (Last updated; Added: More than a month ago)",Verified Active,Housing.com,https://housing.com/in/buy/resale/page/16840084-1-bhk-apartment-in-miyapur-for-rs-3600000-v3,Not identified,Direct resale page accessible with active Contact Seller action; date is the public Housing.com 'Last updated' date. Unavailable fields are marked Not provided; no private contact details were collected.
119,2026-08-03,19:36:59,IST,19594709,"2 BHK Flat for sale in HMDA Approved Project at Miyapur, Hyderabad",Sale,Apartment/Flat,2 BHK,Miyapur,"HMDA Approved Project; HMDA Approved Project, Miyapur, North Hyderabad, Hyderabad",North,6100000,Not provided,Not provided,No Charge,1220 sqft,Not provided,Not provided,₹5 K/sq.ft,Unfurnished,2,2,2,5,Not provided,Not provided,"23rd Jun, 2026",North-East,1 Covered and 1 Open Parking,Not provided,"Lift, Power Backup, 24*7 Security",Not provided,Not provided,"Jul 24, 2026 (Last updated; Added: More than a month ago)",Verified Active,Housing.com,https://housing.com/in/buy/resale/page/19594709-2-bhk-apartment-in-miyapur-for-rs-6100000,Not identified,Direct resale page accessible with active Contact Seller action; date is the public Housing.com 'Last updated' date. Unavailable fields are marked Not provided; no private contact details were collected.
120,2026-08-03,19:36:59,IST,19516530,"3 BHK Flat for sale in Urbanrise Sky Habitat at Miyapur, Hyderabad",Sale,Apartment/Flat,3 BHK,Miyapur,"Urbanrise Sky Habitat; Urbanrise Sky Habitat, Nagarjuna Enclave, Miyapur, North Hyderabad, Hyderabad",North,10300000,Not provided,Not provided,No Charge,1508 sqft,1308 sq.ft,Not provided,₹6.8 K/sq.ft,Unfurnished,3,1,35,42,Not provided,Not provided,"6th Jul, 2026",Not provided,1 Covered Parking,Not provided,"Lift, Power Backup",Not provided,Not provided,"Jul 24, 2026 (Last updated; Added: 28 days ago)",Verified Active,Housing.com,https://housing.com/in/buy/resale/page/19516530-3-bhk-apartment-in-miyapur-for-rs-10261200,Not identified,Direct resale page accessible with active Contact Seller action; date is the public Housing.com 'Last updated' date. Unavailable fields are marked Not provided; no private contact details were collected.
121,2026-08-03,19:36:59,IST,19325511,"2 BHK Flat for sale in Dwaraka Homes at Narsingi, Hyderabad",Sale,Apartment/Flat,2 BHK,Narsingi,"Dwaraka Homes; Dwaraka Homes, Narsingi, West Hyderabad, Hyderabad",West,8201000,Not provided,Not provided,No Charge,1206 sqft,Not provided,Not provided,₹6.8 K/sq.ft,Unfurnished,2,2,2,5,Not provided,Not provided,"24th Jul, 2026",East,1 Covered Parking,Not provided,Community Hall,Not provided,Not provided,"Jul 24, 2026 (Last updated; Added: 10 days ago)",Verified Active,Housing.com,https://housing.com/in/buy/resale/page/19325511-2-bhk-apartment-in-narsingi-for-rs-8200800,Not identified,Direct resale page accessible with active Contact Seller action; date is the public Housing.com 'Last updated' date. Unavailable fields are marked Not provided; no private contact details were collected.
122,2026-08-03,19:36:59,IST,MB85659951,Plots for sale in Hyderabad,Sale,Apartment/Flat,3 BHK,Uppal,"CSR Ashvattha; Uppal, Hyderabad, Uppal, Hyderabad - East, Andhra Pradesh",East,12500000,"₹10,000 Monthly",Not provided,Not provided,1985 sqft,Not provided,Not provided,"₹6,310/sqft",Unfurnished,3,2,14,25,Under Construction,Under Construction,Not provided,East,1 Covered,Not provided,Lift,Agent,CSR Estates,"Jul 24, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/3-BHK-1985-Sq-ft-Multistorey-Apartment-FOR-Sale-Uppal-in-Hyderabad%26id%3D4d423835363539393531,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. RERA ID publicly displayed: P02200010357. Unavailable fields are marked Not provided; no private contact details were collected.
123,2026-08-03,19:36:59,IST,MB79615713,Plots for sale in Hyderabad,Sale,Apartment/Flat,4 BHK,Bachupally,"Bachupally, Hyderabad - North, Andhra Pradesh",North,12700000,Not provided,Not provided,Not provided,1900 sqft,Not provided,Not provided,"₹6,699/sqft",Unfurnished,3,2,9,20,Not provided,Ready to Move,Ready to Move,Not provided,Not provided,Not provided,Not provided,Owner,Not provided,"Jul 23, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/4-BHK-1900-Sq-ft-Multistorey-Apartment-FOR-Sale-Bachupally-in-Hyderabad%26id%3D4d423739363135373133,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. Unavailable fields are marked Not provided; no private contact details were collected.
124,2026-08-03,19:36:59,IST,MB79614411,"4 BHK 1900 Sqft Flat For Sale in Kondapur, Hyderabad",Sale,Apartment/Flat,4 BHK,Kondapur,"Kondapur, Hyderabad - North, Andhra Pradesh",North,14900000,Not provided,Not provided,Not provided,1900 sqft,Not provided,Not provided,"₹7,864/sqft",Unfurnished,3,2,2,4,Not provided,Ready to Move,Ready to Move,Not provided,Not provided,Not provided,Not provided,Owner,Not provided,"Jul 23, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/4-BHK-1900-Sq-ft-Multistorey-Apartment-FOR-Sale-Kondapur-in-Hyderabad%26id%3D4d423739363134343131,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. Unavailable fields are marked Not provided; no private contact details were collected.
125,2026-08-03,19:36:59,IST,MB79632371,Plots for sale in Hyderabad,Sale,Apartment/Flat,4 BHK,Kukatpally,"Kukatpally, Hyderabad - North, Andhra Pradesh",North,14400000,Not provided,Not provided,Not provided,2250 sqft,Not provided,Not provided,"₹6,439/sqft",Unfurnished,4,3,2,4,Not provided,Ready to Move,Ready to Move,Not provided,Not provided,Not provided,Not provided,Owner,Not provided,"Jul 23, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/4-BHK-2250-Sq-ft-Multistorey-Apartment-FOR-Sale-Kukatpally-in-Hyderabad%26id%3D4d423739363332333731,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. Unavailable fields are marked Not provided; no private contact details were collected.
126,2026-08-03,19:36:59,IST,16040541,"3 BHK Flat for sale in Aditya Capitol Heights at Kukatpally, Hyderabad",Sale,Apartment/Flat,3 BHK,Kukatpally,"Aditya Capitol Heights; Aditya Capitol Heights, Gokul Plots, Kukatpally, North Hyderabad, Hyderabad",North,16500000,₹5000.,Not provided,1.7 Lacs,1890 sqft,1400 sqft,Not provided,₹8.73 K/sq.ft,Unfurnished,3,Not provided,10,20,Not provided,Not provided,"29th Jun, 2026",West,Not provided,Not provided,"Swimming Pool, Gym, Lift, Power Backup, Intercom",Not provided,Not provided,"Jul 23, 2026 (Last updated; Added: 11 days ago)",Verified Active,Housing.com,https://housing.com/in/buy/resale/page/16040541-3-bhk-apartment-in-kukatpally-for-rs-16500000-v2,Not identified,Direct resale page accessible with active Contact Seller action; date is the public Housing.com 'Last updated' date. Unavailable fields are marked Not provided; no private contact details were collected.
